Epoch: 1, Train Loss: 2.9882768676321403, Val Loss: 2.493076024598597, Took 0:04:42.764826, ETA: 0:42:24.883434

Epoch: 2, Train Loss: 2.3027740951821793, Val Loss: 2.173168509393125, Took 0:04:42.842196, ETA: 0:37:42.737568

Epoch: 3, Train Loss: 2.0580071809338407, Val Loss: 2.0182943410855003, Took 0:04:37.444699, ETA: 0:32:22.112893

Epoch: 4, Train Loss: 1.9250602293075936, Val Loss: 1.9398717452200223, Took 0:04:40.233292, ETA: 0:28:01.399752

Epoch: 5, Train Loss: 1.8353780217502322, Val Loss: 1.889237836060837, Took 0:04:42.215904, ETA: 0:23:31.079520

Epoch: 6, Train Loss: 1.7643113811913158, Val Loss: 1.8485806839806693, Took 0:04:41.824480, ETA: 0:18:47.297920

Epoch: 7, Train Loss: 1.7094130399631926, Val Loss: 1.8297238065699353, Took 0:04:52.328343, ETA: 0:14:36.985029

Epoch: 8, Train Loss: 1.6596257581964637, Val Loss: 1.8007851427126116, Took 0:04:42.082608, ETA: 0:09:24.165216

Epoch: 9, Train Loss: 1.614176269456741, Val Loss: 1.7968970064260785, Took 0:04:41.019159, ETA: 0:04:41.019159

Epoch: 10, Train Loss: 1.577260257770995, Val Loss: 1.7747694762517126, Took 0:04:38.067509, ETA: 0:00:00

Test Performance: Loss: 1.7724865342354494, Perplexity: 5.8854696036195016, Bleu1: 68.43053927909843, Bleu4: 8.461739509242959
