Epoch: 1, Train Loss: 2.899803679448439, Val Loss: 2.3794195449490343, Took 0:04:36.459512, ETA: 0:41:28.135608

Epoch: 2, Train Loss: 2.1990117986689928, Val Loss: 2.0807547099802024, Took 0:04:41.567756, ETA: 0:37:32.542048

Epoch: 3, Train Loss: 1.9768979239422868, Val Loss: 1.9460775375826478, Took 0:04:34.091317, ETA: 0:31:58.639219

Epoch: 4, Train Loss: 1.85177688290055, Val Loss: 1.8840990191951221, Took 0:04:48.850844, ETA: 0:28:53.105064

Epoch: 5, Train Loss: 1.770097588285097, Val Loss: 1.8403510391482054, Took 0:04:53.339449, ETA: 0:24:26.697245

Epoch: 6, Train Loss: 1.7037741988353603, Val Loss: 1.8110371230882107, Took 0:04:40.326341, ETA: 0:18:41.305364

Epoch: 7, Train Loss: 1.6456786980954432, Val Loss: 1.7889121838748225, Took 0:04:40.089878, ETA: 0:14:00.269634

Epoch: 8, Train Loss: 1.6002820588074214, Val Loss: 1.7695250032491205, Took 0:04:43.005976, ETA: 0:09:26.011952

Epoch: 9, Train Loss: 1.5567167898338992, Val Loss: 1.7589261386845563, Took 0:04:52.302662, ETA: 0:04:52.302662

Epoch: 10, Train Loss: 1.5176344598585711, Val Loss: 1.7480710009580414, Took 0:04:45.287583, ETA: 0:00:00

Test Performance: Loss: 1.7408112027266789, Perplexity: 5.7019669982663075, Bleu1: 67.72642055824664, Bleu4: 8.741534571652814
