Epoch: 1, Train Loss: 2.706161662335048, Val Loss: 2.2402967269604024, Took 0:03:18.299789, ETA: 1:02:47.695991

Epoch: 2, Train Loss: 2.07359419262972, Val Loss: 1.9444636225700378, Took 0:03:10.731768, ETA: 0:57:13.171824

Epoch: 3, Train Loss: 1.8258108698758957, Val Loss: 1.7597947363670057, Took 0:03:08.657099, ETA: 0:53:27.170683

Epoch: 4, Train Loss: 1.6847754193477875, Val Loss: 1.6386211349413946, Took 0:03:08.067605, ETA: 0:50:09.081680

Epoch: 5, Train Loss: 1.5817846673752618, Val Loss: 1.5859121648164896, Took 0:03:10.887841, ETA: 0:47:43.317615

Epoch: 6, Train Loss: 1.5160239057479499, Val Loss: 1.5740404037328868, Took 0:03:08.614363, ETA: 0:44:00.601082

Epoch: 7, Train Loss: 1.4675584793090821, Val Loss: 1.5484334422991826, Took 0:03:09.144410, ETA: 0:40:58.877330

Epoch: 8, Train Loss: 1.4159629611498297, Val Loss: 1.518752992611665, Took 0:03:08.667311, ETA: 0:37:44.007732

Epoch: 9, Train Loss: 1.3821840120487459, Val Loss: 1.4893749035321748, Took 0:03:08.127647, ETA: 0:34:29.404117

Epoch: 10, Train Loss: 1.347172603023922, Val Loss: 1.4654624035725228, Took 0:03:09.372500, ETA: 0:31:33.725000

Test Performance: Loss: 1.466473819347138, Perplexity: 4.333925959586142, Bleu1: 69.05194122741226, Bleu4: 8.742979007892718
