Epoch: 1, Train Loss: 3.2211302483030653, Val Loss: 2.487935478870685, Took 0:03:01.043958, ETA: 0:57:19.835202

Epoch: 2, Train Loss: 2.398139764106325, Val Loss: 2.243441291955801, Took 0:03:00.290088, ETA: 0:54:05.221584

Epoch: 3, Train Loss: 2.19381634355103, Val Loss: 2.117718502191397, Took 0:03:00.391231, ETA: 0:51:06.650927

Epoch: 4, Train Loss: 2.0553141417421497, Val Loss: 1.9833328347939712, Took 0:03:00.082632, ETA: 0:48:01.322112

Epoch: 5, Train Loss: 1.9277896521940763, Val Loss: 1.8843807252553793, Took 0:02:59.976045, ETA: 0:44:59.640675

Epoch: 6, Train Loss: 1.8210675645283876, Val Loss: 1.855053040614495, Took 0:02:50.768978, ETA: 0:39:50.765692

Epoch: 7, Train Loss: 1.7599997122400308, Val Loss: 1.7603158469383533, Took 0:02:49.601073, ETA: 0:36:44.813949

Epoch: 8, Train Loss: 1.7036529053434282, Val Loss: 1.7253902054750003, Took 0:02:50.884449, ETA: 0:34:10.613388

Epoch: 9, Train Loss: 1.6590536276158345, Val Loss: 1.6773266411744632, Took 0:02:50.988766, ETA: 0:31:20.876426

Epoch: 10, Train Loss: 1.6194798979636427, Val Loss: 1.6636204201441545, Took 0:02:50.814540, ETA: 0:28:28.145400

Epoch: 11, Train Loss: 1.5751441136961843, Val Loss: 1.6079050852702215, Took 0:02:51.044089, ETA: 0:25:39.396801

Test Performance: Loss: 1.6130138250107462, Perplexity: 5.0179115688989855, Bleu1: 65.56190435972599, Bleu4: 6.724425716063331
