Epoch: 1, Train Loss: 5.449197777455189, Val Loss: 4.139859070649019, Took 0:04:57.706174, ETA: 0:44:39.355566

Epoch: 2, Train Loss: 3.9486432099040423, Val Loss: 3.764614981573981, Took 0:04:42.233046, ETA: 0:37:37.864368

Epoch: 3, Train Loss: 3.652095304970374, Val Loss: 3.512987962790898, Took 0:04:42.127250, ETA: 0:32:54.890750

Epoch: 4, Train Loss: 3.4061940450938533, Val Loss: 3.318872643713785, Took 0:04:41.096395, ETA: 0:28:06.578370

Epoch: 5, Train Loss: 3.23852865285028, Val Loss: 3.156785964505553, Took 0:04:43.896017, ETA: 0:23:39.480085

Epoch: 6, Train Loss: 3.1119026105581473, Val Loss: 3.087778604398823, Took 0:04:45.564732, ETA: 0:19:02.258928

Epoch: 7, Train Loss: 3.0327344265688283, Val Loss: 3.0221285281494317, Took 0:04:42.332712, ETA: 0:14:06.998136

Epoch: 8, Train Loss: 2.9616841514060925, Val Loss: 2.952135975526567, Took 0:04:46.431901, ETA: 0:09:32.863802

Epoch: 9, Train Loss: 2.91021571076973, Val Loss: 2.897512661674308, Took 0:04:50.066875, ETA: 0:04:50.066875

Epoch: 10, Train Loss: 2.865189229579769, Val Loss: 2.869286702636586, Took 0:04:46.278402, ETA: 0:00:00

Test Performance: Loss: 2.8537484255080785, Perplexity: 17.352705407555796, Bleu1: 51.357174712177454, Bleu4: 1.3896872012603623
