Epoch: 1, Train Loss: 2.899273608753829, Val Loss: 2.356072346446137, Took 0:04:44.701363, ETA: 0:42:42.312267

Epoch: 2, Train Loss: 2.1721032065980856, Val Loss: 2.0655436087759305, Took 0:04:40.797387, ETA: 0:37:26.379096

Epoch: 3, Train Loss: 1.965714148746895, Val Loss: 1.9690152673647672, Took 0:04:42.520481, ETA: 0:32:57.643367

Epoch: 4, Train Loss: 1.859760558293034, Val Loss: 1.9052114774361542, Took 0:04:39.826468, ETA: 0:27:58.958808

Epoch: 5, Train Loss: 1.7884957041190812, Val Loss: 1.8637277525364202, Took 0:04:42.632649, ETA: 0:23:33.163245

Epoch: 6, Train Loss: 1.7293205703755616, Val Loss: 1.8384029487845521, Took 0:04:48.091285, ETA: 0:19:12.365140

Epoch: 7, Train Loss: 1.6859111024806825, Val Loss: 1.8320612920067025, Took 0:04:43.287321, ETA: 0:14:09.861963

Epoch: 8, Train Loss: 1.6514569750080859, Val Loss: 1.8136067829997382, Took 0:04:39.512149, ETA: 0:09:19.024298

Epoch: 9, Train Loss: 1.6172263608722888, Val Loss: 1.80559027298537, Took 0:04:49.683627, ETA: 0:04:49.683627

Epoch: 10, Train Loss: 1.5957994454790785, Val Loss: 1.8007819873485786, Took 0:04:44.634589, ETA: 0:00:00

Test Performance: Loss: 1.790036162184958, Perplexity: 5.989669061987262, Bleu1: 67.44962075908788, Bleu4: 8.014038164758736
