Epoch: 1, Train Loss: 2.8905058859755552, Val Loss: 2.3828849480702328, Took 0:03:15.820870, ETA: 1:02:00.596530

Epoch: 2, Train Loss: 2.2161164788729133, Val Loss: 2.057499945163727, Took 0:03:13.587100, ETA: 0:58:04.567800

Epoch: 3, Train Loss: 1.957629771140512, Val Loss: 1.88271571122683, Took 0:03:10.502804, ETA: 0:53:58.547668

Epoch: 4, Train Loss: 1.7888306529225197, Val Loss: 1.7501379925471086, Took 0:03:09.923498, ETA: 0:50:38.775968

Epoch: 5, Train Loss: 1.6816841515860332, Val Loss: 1.6872566961325133, Took 0:03:08.918404, ETA: 0:47:13.776060

Epoch: 6, Train Loss: 1.60696491857455, Val Loss: 1.6331388033353365, Took 0:03:09.299568, ETA: 0:44:10.193952

Epoch: 7, Train Loss: 1.5482283627526443, Val Loss: 1.6030322482952706, Took 0:03:11.471927, ETA: 0:41:29.135051

Epoch: 8, Train Loss: 1.5046866420512548, Val Loss: 1.551003492795504, Took 0:03:09.240646, ETA: 0:37:50.887752

Epoch: 9, Train Loss: 1.4623119874061945, Val Loss: 1.5284929706500128, Took 0:03:12.617203, ETA: 0:35:18.789233

Epoch: 10, Train Loss: 1.417678434603204, Val Loss: 1.519492093874858, Took 0:03:14.890119, ETA: 0:32:28.901190

Epoch: 11, Train Loss: 1.389792924786842, Val Loss: 1.5007777356184446, Took 0:03:15.365279, ETA: 0:29:18.287511

Epoch: 12, Train Loss: 1.3564845955934648, Val Loss: 1.4756966567956484, Took 0:03:15.441213, ETA: 0:26:03.529704

Epoch: 13, Train Loss: 1.3313896992687504, Val Loss: 1.4597145795822144, Took 0:03:15.181668, ETA: 0:22:46.271676

Test Performance: Loss: 1.476096812207648, Perplexity: 4.375832608458575, Bleu1: 68.57852037182809, Bleu4: 8.549190328570903
